BB_Back: loc=<Vector (0.0000, 0.9650, 0.1200)>, dim=<Vector (5.3700, 0.1200, 0.2400)>
Door_Frame_Left: loc=<Vector (-2.6850, -0.5400, 1.1000)>, dim=<Vector (0.2400, 0.9200, 2.2000)>
Door_Panel_Front: loc=<Vector (0.7500, -1.0150, 1.0000)>, dim=<Vector (0.9200, 0.1000, 2.0000)>
Door_Panel_Left: loc=<Vector (-2.6750, -0.5400, 1.0000)>, dim=<Vector (0.1000, 0.8200, 2.0000)>
Floor: loc=<Vector (0.0000, 0.0000, -0.0500)>, dim=<Vector (5.3700, 2.0500, 0.1000)>
GPrt_Base: loc=<Vector (-1.1000, 0.6250, 0.9200)>, dim=<Vector (0.5000, 0.4000, 0.1200)>
GPrt_Body: loc=<Vector (-1.1000, 0.6250, 1.1000)>, dim=<Vector (0.4800, 0.4400, 0.4800)>
GPrt_Panel: loc=<Vector (-0.8900, 0.8050, 1.1200)>, dim=<Vector (0.0800, 0.1200, 0.1600)>
GPrt_Top: loc=<Vector (-1.1000, 0.6250, 1.3800)>, dim=<Vector (0.5200, 0.4800, 0.1200)>
Green_Mat: loc=<Vector (-0.5800, 0.5850, 0.8450)>, dim=<Vector (0.6000, 0.4800, 0.0300)>
PTray_Back: loc=<Vector (1.6000, 0.8050, 1.8200)>, dim=<Vector (0.4400, 0.0800, 0.5000)>
PTray_Slot_0: loc=<Vector (1.6000, 0.7350, 1.6000)>, dim=<Vector (0.4400, 0.2600, 0.0400)>
PTray_Slot_1: loc=<Vector (1.6000, 0.7350, 1.6800)>, dim=<Vector (0.4400, 0.2600, 0.0400)>
PTray_Slot_2: loc=<Vector (1.6000, 0.7350, 1.7600)>, dim=<Vector (0.4400, 0.2600, 0.0400)>
PTray_Slot_3: loc=<Vector (1.6000, 0.7350, 1.8400)>, dim=<Vector (0.4400, 0.2600, 0.0400)>
PTray_Slot_4: loc=<Vector (1.6000, 0.7350, 1.9200)>, dim=<Vector (0.4400, 0.2600, 0.0400)>
PTray_Slot_5: loc=<Vector (1.6000, 0.7350, 2.0000)>, dim=<Vector (0.4400, 0.2600, 0.0400)>
Shelf_Back: loc=<Vector (1.4250, 0.9850, 1.8700)>, dim=<Vector (2.5200, 0.0800, 0.8600)>
Shelf_LP: loc=<Vector (0.1950, 0.8050, 1.9100)>, dim=<Vector (0.0600, 0.4400, 0.8000)>
Shelf_RP: loc=<Vector (2.6550, 0.8050, 1.9100)>, dim=<Vector (0.0600, 0.4400, 0.8000)>
Shelf_S0: loc=<Vector (1.4250, 0.8050, 1.5500)>, dim=<Vector (2.5200, 0.4400, 0.0600)>
Shelf_S1: loc=<Vector (1.4250, 0.8050, 1.9200)>, dim=<Vector (2.5200, 0.4400, 0.0600)>
Shelf_S2: loc=<Vector (1.4250, 0.8050, 2.2800)>, dim=<Vector (2.5200, 0.4400, 0.0600)>
Trash_Bin_1: loc=<Vector (0.2000, -0.4000, 0.2250)>, dim=<Vector (0.3600, 0.3600, 0.4500)>
Trash_Bin_2: loc=<Vector (-2.0000, -0.5400, 0.2250)>, dim=<Vector (0.3600, 0.3600, 0.4500)>
Wall_Back: loc=<Vector (0.0000, 1.0250, 1.3500)>, dim=<Vector (5.3700, 0.2000, 2.7000)>
Wall_Front: loc=<Vector (0.0000, -1.0250, 1.3500)>, dim=<Vector (5.3700, 0.2000, 2.7000)>
Wall_Left: loc=<Vector (-2.6850, 0.0000, 1.3500)>, dim=<Vector (0.2000, 2.0500, 2.7000)>
Wall_Right: loc=<Vector (2.6850, 0.0000, 1.3500)>, dim=<Vector (0.2000, 2.0500, 2.7000)>
Win_Frame: loc=<Vector (-2.6850, 0.4700, 1.5000)>, dim=<Vector (0.2400, 1.0000, 1.3400)>
Win_Glass: loc=<Vector (-2.6350, 0.4700, 1.5000)>, dim=<Vector (0.1000, 0.8000, 1.1400)>
Xerox_Base: loc=<Vector (1.5500, 0.6450, 0.2800)>, dim=<Vector (0.8000, 1.0400, 0.5600)>
Xerox_Body: loc=<Vector (1.5500, 0.6450, 0.9300)>, dim=<Vector (0.7600, 1.0000, 0.7600)>
Xerox_Feeder: loc=<Vector (1.5500, 0.6450, 1.5300)>, dim=<Vector (0.8000, 1.0400, 0.1800)>
Xerox_Fin_Top: loc=<Vector (2.0500, 0.6450, 1.6200)>, dim=<Vector (0.2800, 1.0000, 0.1600)>
Xerox_Finisher: loc=<Vector (2.0500, 0.6450, 0.7800)>, dim=<Vector (0.2400, 0.9600, 1.5600)>
Xerox_OutTray: loc=<Vector (1.9800, 0.6450, 1.1000)>, dim=<Vector (0.1000, 0.7600, 0.0600)>
Xerox_Panel: loc=<Vector (1.2200, 0.3250, 0.9700)>, dim=<Vector (0.1200, 0.2800, 0.2000)>
Xerox_Platen: loc=<Vector (1.5500, 0.6450, 1.3700)>, dim=<Vector (0.8400, 1.0800, 0.1400)>
